,precision,recall,f1-score,support
C,0.6291322314049587,0.7689393939393939,0.6920454545454545,792.0
PF,0.5181102362204725,0.39590854392298436,0.4488403819918145,831.0
SF,0.8227848101265823,0.8301404853128991,0.8264462809917356,783.0
SG,0.5094066570188133,0.4489795918367347,0.47728813559322036,784.0
PG,0.5612472160356348,0.6363636363636364,0.5964497041420118,792.0
accuracy,0.6137619286790558,0.6137619286790558,0.6137619286790558,0.6137619286790558
macro avg,0.6081362301612924,0.6160663302751297,0.6082139914528474,3982.0
weighted avg,0.6069677182581683,0.6137619286790558,0.6064228677642604,3982.0
