metric,5class,5class_mapped_to_3,3class_direct
Accuracy,0.6137619286790558,0.8297338021094928,0.8264691109994977
Macro_F1,0.6082139914528474,0.8288972594753955,0.826619371576706
Weighted_F1,0.6064228677642604,0.8299194567747689,0.8259128639893383
