feature,avg_info_gain
TRB_per36,0.7312
PTS_per36,0.6335431372549019
AST_per36,0.6063632124352332
FG%,0.5807708163265306
3P%,0.5729291237113402
FT%,0.5503
TOV_per36,0.5499372492836676
STL_per36,0.5439316981132075
PF_per36,0.5333497041420119
BLK_per36,0.4799541666666666
