,PTS_per36,TRB_per36,AST_per36,STL_per36,BLK_per36,TOV_per36,PF_per36,3PAr,FTr
PTS_per36,1.0,-0.06418478263849252,0.14902459922415118,0.06538038159138457,-0.10665648203088689,0.38156611301404636,-0.3314663134633798,-0.016160910619315783,0.07570546396626514
TRB_per36,-0.06418478263849252,1.0,-0.554812036039114,-0.3151344181997805,0.6256101258860408,-0.06155620424317179,0.42959471503506885,-0.5114328718920034,0.3977727759164626
AST_per36,0.14902459922415118,-0.554812036039114,1.0,0.4889632168488336,-0.44021432782510617,0.48219470126556785,-0.3936431611302348,0.1925120694620608,-0.14797129401714484
STL_per36,0.06538038159138457,-0.3151344181997805,0.4889632168488336,1.0,-0.2631728413462689,0.26556668576584563,-0.13170557137397404,0.09271426365573432,-0.06726678001950423
BLK_per36,-0.10665648203088689,0.6256101258860408,-0.44021432782510617,-0.2631728413462689,1.0,-0.06981606998938256,0.38571759400738104,-0.38987211922119963,0.28968265850681074
TOV_per36,0.38156611301404636,-0.06155620424317179,0.48219470126556785,0.26556668576584563,-0.06981606998938256,1.0,0.06477340399536743,-0.2156587354536884,0.21881642438581775
PF_per36,-0.3314663134633798,0.42959471503506885,-0.3936431611302348,-0.13170557137397404,0.38571759400738104,0.06477340399536743,1.0,-0.38819316184371083,0.25706052323314943
3PAr,-0.016160910619315783,-0.5114328718920034,0.1925120694620608,0.09271426365573432,-0.38987211922119963,-0.2156587354536884,-0.38819316184371083,1.0,-0.4445333274209057
FTr,0.07570546396626514,0.3977727759164626,-0.14797129401714484,-0.06726678001950423,0.28968265850681074,0.21881642438581775,0.25706052323314943,-0.4445333274209057,1.0
