K,Inertia,Silhouette
2,87894.56151979853,0.24472681082388115
3,75184.21092205889,0.20312994776866594
4,68608.78747539895,0.18085589766266563
5,64132.20366921363,0.16452715395818107
6,60653.15370326907,0.15019738777047523
7,57902.45317778431,0.15064994623301578
8,55438.03723256467,0.14368839262763938
9,53407.96217484938,0.1421342225172906
10,51641.1824079656,0.14294409166987346
