,PC1,PC2
PTS_per36,-0.13150125830380766,0.3629147326986834
TRB_per36,0.4724988754264179,0.0862770470836422
AST_per36,-0.4109563629461198,0.3187357904091301
STL_per36,-0.27158792316366376,0.2802961619501547
BLK_per36,0.42193013785921063,0.04612986344140718
TOV_per36,-0.10082301882804234,0.6231647475698339
PF_per36,0.36718843084367686,0.06549851491680064
3PAr,-0.34312820254859794,-0.36952995894953033
FTr,0.2757761230452416,0.38650486738539835
