,precision,recall,f1-score,support
C,0.5773624091381101,0.6611177170035671,0.6164079822616408,841.0
PF,0.4675862068965517,0.38742857142857146,0.42375,875.0
PG,0.7433290978398983,0.7213316892725031,0.7321652065081352,811.0
SF,0.4785046728971963,0.3141104294478528,0.37925925925925924,815.0
SG,0.43429068755439515,0.6107711138310894,0.5076297049847406,817.0
accuracy,0.5373887953835057,0.5373887953835057,0.5373887953835057,0.5373887953835057
macro avg,0.5402146148652303,0.5389519041967168,0.5318424306027552,4159.0
weighted avg,0.5391527808634158,0.5373887953835057,0.5306073841858541,4159.0
