,precision,recall,f1-score,support
C,0.5759493670886076,0.6492271105826397,0.6103968697596422,841.0
PF,0.4749661705006766,0.40114285714285713,0.4349442379182156,875.0
PG,0.7420986093552465,0.7237977805178791,0.7328339575530587,811.0
SF,0.4721189591078067,0.3116564417177914,0.3754619364375462,815.0
SG,0.4348206474190726,0.6083231334149327,0.5071428571428571,817.0
accuracy,0.5373887953835057,0.5373887953835057,0.5373887953835057,0.5373887953835057
macro avg,0.539990750694282,0.5388294646752201,0.5321559717622639,4159.0
weighted avg,0.5390325101493053,0.5373887953835057,0.5310376310902003,4159.0
