指标,5类原始,3超类,提升
Accuracy,0.5373887953835057,0.7583553738879538,0.22096657850444812
Macro_F1,0.5318424306027552,0.7525739628799769,0.22073153227722175
Weighted_F1,0.5306073841858541,0.7589116143557056,0.22830423016985157
