Cluster_5,C,PF,PG,SF,SG
0,6.9,14.7,26.900000000000002,24.0,27.500000000000004
1,4.2,13.100000000000001,22.6,27.900000000000002,32.2
2,0.2,3.3000000000000003,52.900000000000006,17.2,26.5
3,50.8,40.1,0.0,8.799999999999999,0.3
4,45.7,35.3,1.7000000000000002,12.9,4.3999999999999995
